,annual_co2_emissions,temperature_anomaly,index_id,type_col,country_name,location_code,parent_code,year_col,total_population_as_of_1_january_thousands,total_population_as_of_1_july_thousands,male_population_as_of_1_july_thousands,female_population_as_of_1_july_thousands,births_thousands,births_by_women_aged_15_to_19_thousands,under_five_deaths_under_age_5_thousands,population_sex_ratio_as_of_1_july_males_per_100_females
0,84272.0,-2.298886,8437,Country/Area,afghanistan,4,5501,1950,7726.586,7776.176,4118.834,3657.341,383.985,53.858,160.791,112.618
1,296725.0,0.445077,13469,Country/Area,albania,8,925,1950,1234.474,1247.851,638.737,609.114,49.038,2.114,14.894,104.863
2,3783605.0,-1.889681,4885,Country/Area,algeria,12,912,1950,8892.792,9018.426,4612.831,4405.596,456.352,49.07,108.07,104.704
3,186864.0,-1.236647,4145,Country/Area,angola,24,911,1950,4524.379,4551.869,2218.912,2332.956,201.604,17.645,67.371,95.112
4,12213.0,-0.804529,15689,Country/Area,antigua and barbuda,28,915,1950,44.948,45.444,21.221,24.223,1.661,0.286,0.192,87.605
5,29921192.0,-0.474643,18427,Country/Area,argentina,32,931,1950,16849.682,17018.036,8669.609,8348.428,443.092,45.959,38.564,103.847
6,1482164.0,-1.183287,10065,Country/Area,armenia,51,922,1950,1366.292,1382.895,661.923,720.972,47.681,2.771,8.376,91.81
7,55738172.0,-0.390464,20055,Country/Area,australia,36,927,1950,8048.9,8176.75,4120.234,4056.515,188.769,10.152,5.789,101.571
8,20894256.0,-0.613293,14801,Country/Area,austria,40,926,1950,6937.809,6936.449,3219.959,3716.49,107.515,7.883,8.307,86.64
9,8952894.0,-1.310239,10139,Country/Area,azerbaijan,31,922,1950,3105.38,3131.972,1456.794,1675.177,117.561,8.339,23.744,86.964
10,54960.0,-0.708337,15837,Country/Area,bahamas,44,915,1950,83.053,83.487,39.118,44.368,3.068,0.393,0.271,88.166
11,1381328.0,-0.60684,10213,Country/Area,bahrain,48,922,1950,115.571,117.263,63.318,53.945,5.766,1.073,1.906,117.375
12,993068.0,-0.842209,8511,Country/Area,bangladesh,50,5501,1950,40816.124,41206.856,21514.873,19691.983,1910.563,361.378,645.553,109.257
13,18853082.0,-1.105616,11545,Country/Area,belarus,112,923,1950,7100.082,7127.595,3077.473,4050.122,163.567,6.218,22.904,75.985
14,76200490.0,-0.986558,14875,Country/Area,belgium,56,926,1950,8597.144,8617.441,4245.161,4372.28,143.917,6.967,8.697,97.093
15,18320.0,-1.836929,17761,Country/Area,belize,84,916,1950,68.155,69.073,33.791,35.282,3.651,0.54,0.594,95.771
16,137812.0,-1.538726,5921,Country/Area,benin,204,914,1950,2242.408,2250.476,1055.264,1195.212,92.031,11.583,31.831,88.291
17,516896.0,-1.531098,18501,Country/Area,bolivia,68,931,1950,3067.084,3089.969,1522.998,1566.971,133.003,14.977,41.505,97.194
18,2726553.0,-0.034345,13617,Country/Area,bosnia and herzegovina,70,925,1950,2670.844,2690.41,1298.657,1391.753,101.146,5.565,23.12,93.311
19,19659072.0,-0.707445,18575,Country/Area,brazil,76,931,1950,52620.377,53408.551,26926.872,26481.679,2476.917,269.245,515.596,101.681
20,414032.0,-1.350367,9177,Country/Area,brunei,96,920,1950,46.859,48.297,24.803,23.494,2.348,0.213,0.376,105.569
21,7497770.0,0.100426,11619,Country/Area,bulgaria,100,923,1950,7207.37,7248.511,3623.542,3624.968,155.976,18.228,19.965,99.961
22,4053.0,-1.82457,5995,Country/Area,burkina faso,854,914,1950,4190.492,4213.152,2208.523,2004.629,182.668,26.916,70.854,110.171
23,8794.0,-1.254157,2591,Country/Area,burundi,108,910,1950,2229.322,2254.938,1080.184,1174.755,117.211,11.582,28.358,91.95
24,139232.0,-0.825146,4219,Country/Area,cameroon,120,911,1950,4298.444,4330.084,2116.501,2213.582,190.92,32.935,68.952,95.614
25,154133760.0,-2.27566,19611,Country/Area,canada,124,905,1950,13593.591,13741.747,6966.37,6775.377,359.149,24.104,17.531,102.819
26,47015.0,-0.817491,4293,Country/Area,central african republic,140,911,1950,1426.515,1438.057,709.288,728.769,65.217,11.504,19.055,97.327
27,29602.0,-1.983002,4367,Country/Area,chad,148,911,1950,2503.092,2525.454,1246.572,1278.881,118.651,23.553,37.163,97.474
28,9384277.0,-1.222994,18649,Country/Area,chile,152,931,1950,6566.565,6628.577,3346.605,3281.972,248.632,34.655,39.62,101.969
29,78835290.0,-0.572134,7771,Country/Area,china,156,906,1950,539190.005,544044.358,280114.452,263929.905,22293.375,2090.739,4172.494,106.132
30,7261834.0,-1.253266,18723,Country/Area,colombia,170,931,1950,11614.844,11766.988,5848.662,5918.326,546.443,68.904,101.591,98.823
31,286174.0,-0.651287,17835,Country/Area,costa rica,188,916,1950,911.377,926.758,464.321,462.437,41.602,4.527,5.292,100.407
32,2945888.0,0.072331,13691,Country/Area,croatia,191,925,1950,3840.125,3864.99,1779.845,2085.145,97.115,7.861,13.408,85.358
33,5641091.0,-0.970792,16207,Country/Area,cuba,192,915,1950,5865.903,5924.511,3060.336,2864.175,189.922,41.752,22.395,106.849
34,267472.0,-1.203984,10287,Country/Area,cyprus,196,922,1950,490.395,493.871,243.738,250.132,14.416,0.676,2.001,97.444
35,21987792.0,-0.741434,12359,Country/Area,denmark,208,924,1950,4251.526,4268.404,2117.193,2151.211,79.454,5.715,2.882,98.419
36,10992.0,-3.611651,2739,Country/Area,djibouti,262,910,1950,61.361,62.331,30.939,31.392,2.821,0.229,0.847,98.559
37,348165.0,-1.019638,16429,Country/Area,dominican republic,214,915,1950,2345.815,2379.894,1204.283,1175.611,126.33,18.094,33.052,102.439
